lyric
" 
Farra, noitada
É tudo pra essas meninas
Noite, bebida, gandaia
É pouco e ainda por cima
Dançam de um jeito
Díficil de explicar
Mas eu mesmo tou aqui
Sou eu davi vou te falar
Mas eu mesmo tou aqui
Sou eu davi vou te falar
É uma união, de grave com som
Que faz elas, elas
Jogar, jogar jogar, jogar, jogar, jogar
Jogar o bumbum no chão
Jogar, jogar, jogar, jogar, jogar
Jogar o bumbum no chão
Jogar, jogar, jogar, jogar, jogar
Jogar o bumbum no chão
É uma união, de grave com som
É uma união, de grave com som
Que faz elas
Jogar o, jogar o, jogar o
Jogar o bumbum no chão
Jogar, jogar, jogar, jogar, jogar
Jogar o bumbum no chão
Jogar, jogar jogar, jogar, jogar
Jogar o bumbum no chão
Farra, noitada
É tudo pra essas meninas
Noite, bebida e gandaia
É pouco e ainda por cima
Dançam de um jeito
Díficil de explicar
Mas eu mesmo tou aqui
Sou eu davi vou te falar
Mas eu mesmo tou aqui
Sou eu davi vou te falar
É uma união, de grave com som
É uma união, de grave com som
Que faz elas, elas
Jogar, jogar jogar, jogar, jogar, jogar
Jogar o bumbum no chão
Jogar, jogar, jogar, jogar, jogar
Jogar o bumbum no chão
Jogar, jogar, jogar, jogar, jogar
Jogar o bumbum no chão
É uma união, de grave com som
É uma união, de grave com som
Que faz elas
Jogar o, jogar o, jogar o
Jogar o bumbum no chão
Jogar, jogar, jogar, jogar, jogar
Jogar o bumbum no chão
Jogar, jogar jogar, jogar, jogar
Jogar o bumbum no chão "
" 
